num;nom;image achat;photo;Coût final €;Date;revendu;tag1;tag2;Designer;Craftman
3203;Bars box Ⅱ;B3163/Capture d’écran 2020-04-05 à 19.42.54.png;B3163/IMG_1250.jpg;84,33620621491262;25 Dec 2018;;Yes;;Hideaki Kawashima;Karakuri
3175;Cubi 8 Plus alpha;B3135/Photo le 05-04-2020 à 14.48 #2.jpg;B3135/IMG_1199.jpg;68,53770018856612;19 Nov 2019;;Yes;;Frédéric Boucher;Frédéric Boucher
3174;Meteor;B3134/Photo le 05-04-2020 à 14.47.jpg;B3134/IMG_1202.jpg;34,26885009428306;19 Nov 2019;;Yes;;Frédéric Boucher;Frédéric Boucher
3172;Similar Tetrominoes;B3132/Photo le 05-04-2020 à 14.jpg;B3132/IMG_1196.jpg;48,955500134690084;19 Nov 2019;;Yes;;Frédéric Boucher;Frédéric Boucher
3163;The Crosswindows Puzzle;B3123/Capture d’écran 2020-04-04 à 21.13.14.png;B3123/IMG_0876.jpg;247;21 Jan 2020;;Yes;;Michael Toulouzas;Michael Toulouzas
3013;Headed Lattice;B2973/Capture d’écran 2019-09-21 à 20.02.19.png;B2973/IMG_0503.jpg;85,10968858131487;21 Sep 2019;;Yes;Yes;Junichi Yananose (Juno);Junichi Yananose (Juno)
2973;Soma Sticks;B5/sndscreenshot_385.png;B5/IMG_0573.jpg;61,266618346648976;28 Jul 2019;;Yes;;Haym Hirsh;Brian Menold (WoodWonders)
2972;Kaon Interlocking Puzzle ;B6/sndscreenshot_379.png;B6/IMG_0747.jpg;55,719294970045844;2 Jul 2019;;Yes;;Duane Einfeld;Eric Fuller (Cubicdissection)
2961;Penultimate Burr Box Set;B17/sndscreenshot_367.png;B17/IMG_0750.jpg;253,879553;17 May 2019;;Yes;;Ken Irvine;Eric Fuller (Cubicdissection)
2929;Doable 12;B49/sndscreenshot_339.png;B49/IMG_0695.jpg;98,23333300000002;29 Jan 2019;;Yes;;Junichi Yananose (Juno);Junichi Yananose (Juno)
2922;Dekobox;B56/sndscreenshot_334.png;B56/IMG_0399.jpg;57,03757900000001;19 Jan 2019;;Yes;;Frédéric Boucher;Frédéric Boucher
2899;Great Grate Puzzle;B79/sndscreenshot_305.png;B79/IMG_1132.jpg;68,94976200000004;18 Nov 2018;;Yes;No;Junichi Yananose (Juno);Junichi Yananose (Juno)
2873;Merope;B105/merope_01.jpg;B105/2019-10-19_114428.jpg;56,94;16 Oct 2018;;Yes;;Junichi Yananose (Juno);Junichi Yananose (Juno)
2871;Alcyone;B107/alcyone_01.jpg;B107/2019-10-19_114540.jpg;56,94;16 Oct 2018;;Yes;;Junichi Yananose (Juno);Junichi Yananose (Juno)
2832;Half Lid Box;B146/halflidbox1_l_1024x1024@2x.JPG;B146/2019-10-13_193442.jpg;65,17;10 Jul 2018;;Yes;;Hajime Katsumoto;Eric Fuller (Cubicdissection)
2794;A Dozen In A Cube;B184/IMG_2208%20%281%29.jpg;B184/JD606530.jpg;46,18;28 Apr 2018;;Yes;;Klaas Jan Damstra;Brian Menold (WoodWonders)
2726;Spherical Packing Puzzle;B252/Spherical-Packing-Puzzle-3T.jpg;B252/JD606155 1.jpg;62,19;3 Oct 2017;;Yes;;Laszlo Molnar;Eric Fuller (Cubicdissection)
2676;Windmill Burr #2;B302/IMG_2389.jpg;B302/JD605966.jpg;47;6 Aug 2017;;Yes;Yes;Junichi Yananose (Juno);Junichi Yananose (Juno)
2654;Penta Cuboid + T-groove Box;B324/penta_cuboid__t-groove_box01-1.jpg;B324/JD606072.jpg;102,34;10 Sep 2017;;Yes;;Junichi Yananose (Juno);Junichi Yananose (Juno)
2566;Small Button Puzzle Box;B413/Small-Button-Box-2T.jpg;B413/JD605586.jpg;103,07;19 Oct 2016;;Yes;;Eric Fuller (Cubicdissection);Eric Fuller (Cubicdissection)
2558;Chain-Store;B421/IMG_8261.jpg;B421/JD605560.jpg;44,35;8 Oct 2016;;Yes;;Goh Pit Khiam;Tom Lensch
2506;Slant Cube;B472/slant1_l.JPG;B472/JD605400.jpg;65,68;25 Aug 2016;;Yes;;William Hu;Eric Fuller (Cubicdissection)
2433;Checkbox;B545/BECB1D2D-D15F-4603-9124-241891BC5CCE.jpg;B545/7D4D834A-8F6B-4C64-973B-11B748F6654D.jpg;51,76;29 Mar 2016;;Yes;;Goh Pit Khiam;Brian Menold (WoodWonders)
2385;Trifecta;B593/480BB91D-5704-43DF-B0E9-59818F6F7F9C.jpg;B593/DE67178B-D431-4B41-9B92-13B3F79991C3.jpg;121,57;7 Nov 2015;;Yes;;Ken Irvine;Tom Lensch
2109;Mini CHessboard;B863/8C78E32C-FD94-410D-9F09-5C1837E5F293.jpg;B863/365F0A32-7285-40A7-8D20-B109AB884609.jpg;77,59;31 Jan 2015;;Yes;;William Hu;Eric Fuller (Cubicdissection)
1946;Bean Bag Drawer;B1021/0DDB5366-CFA3-4701-B1FA-2333F2036E84.jpg;B1021/JD603522.JPG;89,89;25 Dec 2013;;Yes;;Hiroshi Iwahara;Hiroshi Iwahara
1850;TV-case;B1117/EBE3912D-365F-4051-A1B9-CEBD2BDAD7A1.jpg;B1117/JD603245.JPG;42,25;3 Dec 2013;;Yes;;Viteslav Krejci;
1836;Just Drop In;B1131/B43AAD1B-6930-4749-951E-8122DD105C64.jpg;B1131/JD603195.JPG;7,31;2 Nov 2013;;Yes;;Stewart Coffin;
